Date,Price,Open,High,Low,Vol.,Change %,Prev_Price,Price_Change,7_day_avg,30_day_avg
2013-10-14,1276.6,1275.5,1291.6,1268.4,110180.0,0.66,1268.2,8.399999999999864,1301.2142857142858,1331.7366666666667
2013-10-15,1273.2,1273.6,1287.7,1251.0,204030.0,-0.27,1276.6,-3.3999999999998636,1295.9714285714285,1327.1166666666666
2013-10-16,1282.3,1281.4,1289.2,1268.6,165640.0,0.71,1273.2,9.099999999999909,1289.857142857143,1323.5333333333333
2013-10-17,1323.0,1281.4,1324.2,1273.7,216150.0,3.17,1282.3,40.700000000000045,1289.6285714285714,1321.8733333333332
2013-10-18,1314.6,1318.8,1328.9,1311.2,104100.0,-0.63,1323.0,-8.400000000000091,1290.685714285714,1319.4833333333333
2013-10-21,1315.8,1316.0,1323.9,1312.0,74390.0,0.09,1314.6,1.2000000000000455,1293.3857142857141,1317.1266666666668
2013-10-22,1342.6,1315.5,1344.7,1309.5,159790.0,2.04,1315.8,26.799999999999955,1304.0142857142857,1316.4199999999998
2013-10-23,1334.0,1340.1,1342.2,1328.5,99060.0,-0.64,1342.6,-8.599999999999909,1312.2142857142858,1315.4333333333334
2013-10-24,1350.3,1332.5,1352.3,1330.2,138230.0,1.22,1334.0,16.299999999999955,1323.2285714285713,1316.0966666666666
2013-10-25,1352.5,1346.9,1356.4,1335.3,120210.0,0.16,1350.3,2.2000000000000455,1333.2571428571428,1317.5666666666666
2013-10-28,1352.2,1352.7,1361.8,1346.1,118920.0,-0.02,1352.5,-0.2999999999999545,1337.4285714285713,1318.7133333333334
2013-10-29,1345.5,1352.6,1360.4,1339.8,127170.0,-0.5,1352.2,-6.7000000000000455,1341.8428571428572,1319.9166666666667
2013-10-30,1349.7,1349.7,1349.7,1349.7,156600.0,0.31,1345.5,4.2000000000000455,1346.685714285714,1321.32
2013-10-31,1324.1,1332.9,1332.9,1323.3,10.0,-1.9,1349.7,-25.600000000000136,1344.042857142857,1319.8100000000002
2013-11-01,1313.6,1325.0,1325.0,1317.2,0.0,-0.79,1324.1,-10.5,1341.1285714285714,1319.18
2013-11-04,1315.1,1313.6,1315.6,1313.6,0.0,0.11,1313.6,1.5,1336.1000000000001,1318.7833333333333
2013-11-05,1308.5,1316.5,1316.5,1308.6,30.0,-0.5,1315.1,-6.599999999999909,1329.814285714286,1318.53
2013-11-06,1318.2,1313.8,1320.9,1313.8,20.0,0.74,1308.5,9.700000000000045,1324.957142857143,1317.9366666666667
2013-11-07,1308.9,1319.2,1325.5,1298.1,80.0,-0.71,1318.2,-9.299999999999955,1319.7285714285715,1317.4399999999998
2013-11-08,1285.1,1307.7,1309.5,1282.0,50.0,-1.82,1308.9,-23.800000000000182,1310.5,1315.6366666666665
2013-11-11,1281.6,1287.0,1288.0,1281.8,10.0,-0.27,1285.1,-3.5,1304.4285714285713,1314.1233333333332
2013-11-12,1271.7,1281.0,1284.3,1261.8,100.0,-0.77,1281.6,-9.899999999999864,1298.4428571428568,1313.6433333333334
2013-11-13,1268.9,1269.2,1276.1,1268.2,20.0,-0.22,1271.7,-2.7999999999999545,1291.8428571428572,1311.9166666666667
2013-11-14,1286.8,1284.0,1293.8,1278.9,60.0,1.41,1268.9,17.899999999999864,1288.7428571428572,1310.8899999999999
2013-11-15,1287.8,1287.5,1290.2,1282.7,40.0,0.08,1286.8,1.0,1284.3999999999999,1310.1533333333332
2013-11-18,1272.7,1287.1,1288.3,1273.0,40.0,-1.17,1287.8,-15.099999999999909,1279.2285714285715,1308.4066666666665
